job,salary,city,education,workday,worktime,job_good,job_detail,company_pic,company_name,company_scale,company_class
推广与数据分析实习生,100-150／天,广州,本科,3天／周,实习5个月,职位诱惑：师姐带教制 弹性的工作时间 表现优异者可提供转正,职位描述：工作职责：1、了解各大电商平台的运营模式，在同事指导下分析选择合适的推广工具，开展商品和店铺推广，优化流量结构，及相关标题，使推广效果达到最优；3、对推广效果进行跟踪、评估，及时提出改进措施，制定切实可行的优化方案；4、熟练excel等数据分析工具，分析预测店铺运营现状并提出运营优化建议。任职资格：1、本科及以上学历，数学、统计、经济类等理工科专业背景的在校大学生；2、熟练excel操作，较强的学习能力和数据敏感度；3、良好的团队协作意识。,https://sxsimg.xiaoyuanzhao.com/42/CF/4253E925601BC0CEA0074C42283068CF.png,青木科技,500-2000人,计算机/互联网
推广与数据分析专员（应届生）,80-100／天,广州,本科,5天／周,实习17个月,职位诱惑：五险一金、周末双休、年度旅游、绩效奖金、年度体检、带薪假期,工作职责：1、了解各大电商平台的运营模式，熟练使用淘宝、京东等推广工具，如直通车、钻展等；2、分析选择合适的推广工具，开展商品和店铺推广，优化流量结构，使推广效果达到最优；3、对推广效果进行跟踪、评估，及时提出改进措施，制定切实可行的优化方案；4、熟练excel等数据分析工具，分析预测店铺运营现状并提出运营优化建议。任职资格：1、本科及以上学历，数学、统计、经济类等理工科专业背景优先；2、熟练excel操作，对数据分析感兴趣，较强的学习能力和数据敏感度；3、良好的团队协作意识。,https://sxsimg.xiaoyuanzhao.com/42/CF/4253E925601BC0CEA0074C42283068CF.png,青木科技,500-2000人,计算机/互联网
数据分析师实习,100-200／天,广州,本科,5天／周,实习5个月,职位诱惑：颜值高 氛围好 领导好,岗位职责1、与客户沟通，理解、细化客户的商业分析/商业应用需求。需求范围包括：企业网络舆情、品牌网络口碑、消费者洞察、社会化运营数据等； 2、使用公司自有的大数据工具以及外部开放工具，根据实际需求进行数据的收集、整理和筛选； 3、使用数据研究的各种方法及分析模型，结合相关行业背景，洞悉数据背后的信息与价值，敏锐发现问题并提出合理的解决方案和意见； 4、协助承担商业分析/商业应用报告撰写的工作。任职条件1、商科相关专业为佳，或对商业分析/商业应用有浓厚兴趣； 2、做过商业分析/商业应用相关实习为佳； 3、逻辑清晰、踏实好学、对商业分析/商业应用有热情、熟悉使用Excel、PPT； 4、每周至少实习4天，实习期三个月以上。,https://sxsimg.xiaoyuanzhao.com/4B/DE/4BCA14665F5C0B4AA5DB19456680B3DE.png,Datastory数说故事,15-50人,互联网
运营数据分析实习生,100-150／天,广州,本科,5天／周,实习3个月,职位诱惑：上市公司，转正机会，晋升空间，内部培训,岗位职责：1、负责项目数据分析，通过监控及分析，推动项目改进，运营调整；2、负责构建业务数据模型，挖掘业务利润增长点，为新业务拓展提供支持；3、通过数据分析对运营、市场提出建议并推动实施。任职资格：1、统计学、应用数学、计算机、财务会计等相关专业；2、喜欢钻研统计和挖掘方法，懂得使用SPSS等相关数据分析软件；3、较强的数据敏感度，逻辑分析能力和文档写作能力；4、有责任心，良好的沟通能力和组织管理能力以及心理承受能力，勇于接受挑战；,https://sxsimg.xiaoyuanzhao.com/12/FB/122745B3784E5CB2826195D77CB986FB.png,宜通世纪,2000人以上,通信
运营实习生（数据分析方向）,80-90／天,广州,本科,3天／周,实习8个月,职位诱惑：销售数据分析 专业团队 周末双休 互联网上市公司,岗位职责：1、数据收集，筛选，分类，对数据进行深度挖掘并编制工作报告；2、向各部门提供各类准确运营数据及报表，并提出各项解决方案，支持其它业务部门的发展；3、基于销售运营管理深入剖析业务增长点，提炼具体方案，推动项目落地；4、及时向业务线推广平台新功能及新产品，如有问题及时向总部反馈。 任职要求：1、有数据分析/挖掘相关经验者优先；2、2019届本科或以上学历，统计学、数学等专业者优先；3、对数字敏感，思维清晰而有条理，有一定的数据分析能力；4、熟悉office相关软件，精通Excel，有良好的PPT制作能力；5、热爱互联网行业，静如处子，动如脱兔；6、一周至少实习3天，有转正机会，可全职实习者优先录取。,https://sxsimg.xiaoyuanzhao.com/41/9E/419C37ED8DF0600ADB04436F6951FC9E.png,58同城,500-2000人,计算机/互联网
数据分析实习生,80-100／天,广州,不限,5天／周,实习10个月,职位诱惑：注重培养实习生，优秀实习生可留用。,【工作职责】1、负责收集市场各渠道数据资料；2、负责接洽项目信息数据的统计和分析；2、协助市场经理监督合同履约情况；3、完成上级安排的其他工作任务。【任职要求】1、大专以上学历，2019届， 统计学、数学及财会相关专业优先考虑；2、熟练操作Office软件，尤其EXCEL；3、对数字敏感，工作严谨，有较强责任心和团队协作能力！总部位于广州红砖厂创意园，行业TOP5。,https://sxsimg.xiaoyuanzhao.com/9B/DE/9B45D133B1A584896B1AECD178F91DDE.png,山水比德,500-2000人,园林
海外SEM推广实习生（数据分析，广告投放）,100-200／天,广州,大专,5天／周,实习9个月,"职位诱惑：五险一金,晋升空间大,学习机会多,公司实力强","岗位职责：1、负责Facebook & Google adwords 关键词广告和展示广告的海外推广投放分析及数据分析，根据分析结果调整竞价推广，统筹公司Facebook & Google Adwords 广告帐户，优化帐户设置，提高广告转换率；2、进行广告投放,为广告帐户提供广告方案；监控广告的实际投放效果，进行实时优化，并提出和执行相应解决对策；3、独立分析广告投放数据，评估、分析网站的关键词，提供关键词策略；总结投放问题，拟定解决策略；4、网络广告效果监控：每日检测所有投放渠道广告情况，填写效果评估表格，并能准确的定位关键词，能够创造性思维编辑关键词广告。岗位要求：1、本科及以上学历，专业不限；2、英语六级，英语四级但有较强的广告文案撰写能力亦可考虑；3、对电商有一定了解，熟悉国外广告投放（如Facebook、Google adwords等）；4、熟练掌握Excel等办公软件使用，具备较强的数据分析能力；5、有强烈的责任心和团队合作精神，工作严谨细致，善于学习。",https://sxsimg.xiaoyuanzhao.com/51/49/5165C4D8EF8E9A243626637AB41E5A49.png,棒谷网络,2000人以上,计算机/互联网
DSP优化/数据分析助理,80-100／天,"北京,上海,广州",本科,5天／周,实习5个月,职位诱惑：朝阳行业，管理扁平，团队强大，leader给力,【岗位职责】1. 协助优化师负责公司广告客户DSP广告投放的优化工作；2. 与客户沟通，提供优化建议与指导；与项目经理、技术、平台等团队沟通，保证项目顺利进行；3. 对投放数据进行分析，充分利用媒体平台资源，并提供优化策略，使广告投放效果达到最大化；4. 协助制作项目投放总结报告。【任职资格】1. 本科及以上学历，数学、统计学、广告学、市场营销、工商管理等相关专业更佳；2. 有较强的数据分析能力，对数据敏感，熟练使用excel进行数据分析；3. 善于沟通，具备良好的工作态度和创新意识. 优秀的团队精神和合作能力。【校招说明】校招流程：在线网申-简历筛选-在线笔试-线下面试/笔试-Offer-实习-转正,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-38/jC6D3QNEAO5X8fc.jpg,品友互动,150-500人,"互联网,其它"
数据分析实习生,100-120／天,广州,本科,3天／周,实习4个月,职位诱惑：金融风控 发展平台大 学习成长快 团队有爱,岗位职责：1、负责协助对常规报表进行整理及维护；2、根据业务发展的需求，提出相关报表需求，提升监控力度；4、统计分析报表数据结果，能够快速定位业务问题，提升数据异常效率；5、完成上级交办的其他临时性工作； 岗位要求：1、本科（本科在读）以上学历，优先考虑金融数学、统计学等相关专业；每周能到岗3天以上、能实习3个月以上的优先考虑；2、思维敏捷，反应灵敏，对数据敏感、细心，有团队协作精神、工作态度严谨；3、掌握数据处理相关软件，如SAS，SQL，excel，并能完成较复杂数据处理的优先考虑。,https://sxsimg.xiaoyuanzhao.com/A3/D6/A3241E8B343E3C2DF75CD25326A537D6.png,拉卡拉金融公司,500-2000人,"金融,计算机/互联网"
数据分析实习生,120-150／天,"广州,深圳",本科,3天／周,实习2个月,职位诱惑：大数据上市公司 发展空间大 六险一金 牛人多 弹性工作制,职位描述：1.  对不同项目所需数据进行采集、标注、处理和分析，如：金融、汽车、媒体、快消等行业数据，具备一定的行业知识；2.  对收集到的行业信息进行数据整合及行业标准化工作；3.  对行业文字数据敏感，能够发现并反馈数据问题；4.  对互联网搜索熟悉，熟练使用搜索引擎查阅资料，并对互联网产品、网页结构有了解；5. 对公司部分报告或方案进行英文翻译；6. 根据项目情况参与上述一件或多件工作。 职位要求:1. 在校学生，本科学历以上，英语好、统计、数学和计算机等相关专业优先，懂韩语的优先考虑；2. 做事细心、耐心，稳定性好，有责任心和执行力； 3. 具备良好的沟通、协调能力，拥有强烈的责任心和团队协作精神；4. 熟悉使用办公软件，擅长excel最佳。 ,https://sxsimg.xiaoyuanzhao.com/E9/A3/E918743C75B329240BE20368785295A3.png,国双科技,500-2000人,计算机/互联网
数据分析（social/tack）,100-120／天,广州,本科,5天／周,实习3个月,职位诱惑：免费咖啡牛奶茶、餐补、互联网行业、发展前景大,实习可转正，全职招聘，倾向于接受2018应届毕业生，入职时间ASAP基础月薪+bonus，13薪。岗位职责：负责广告项目监测数据的收集、整理、筛选，准时准确地完成报告根据监测数据，及时发现问题并提出合理性解决方案及建议在 leader 的指导下，完成季度、年度等大型报告维护现有客户关系，定期为既有客户进行网络广告最新行业动态的培训任职要求：本科及以上学历，广告，市场营销、心理学、 统计等相关专业优先较强的沟通与表达能力工作热情，有服务精神良好的服务意识和团队合作精神学习能力强，有责任心，对数字敏感优秀的英文听说读写能力，能熟练使用 PPT 和 EXCEL,https://sxsimg.xiaoyuanzhao.com/7B/03/7B0BDBACB626E47A836D5CEA71F8F903.png,Admaster,500-2000人,"文化传媒,计算机/互联网"
数据分析专员,100-150／天,广州,本科,5天／周,实习3个月,职位诱惑：国企  六险一金  晋升空间  发展空间,岗位职责（1）负责公司日常运营数据的处理和分析，输出汇报报告；（2）负责公司运营数据的需求调研、数据分析、商业分析和数据挖掘，为公司业务开展提 供数据支持和决策参考；（3）负责公司运营项目的数据跟踪，找出业务的驱动指标，推动业务部门的有序改进；（4）协助根据数据需求构建数据分析、数据挖掘、数据训练等模型； 职位要求： （1）本科学历，管理类、电子及计算机等相关专业； （2）1年以上工作经验，有数据分析或设备维保服务工作经验优先考虑；（3）工作责任心强，耐心细致，能承受较大的工作压力，执行力和沟通力强，有良好的学习能力和团队合作精神； （4）掌握office办公软件，熟练数据库、SQL、R语言、spss、数理统计，数据挖掘软件的优先考虑；（5）能适应国内短时出差。,https://sxsimg.xiaoyuanzhao.com/96/57/96DD228CADA2ACEA37C608C679985657.png,广电银通,2000人以上,金融
前策助理（房地产/项目助理/数据分析）,100-120／天,广州,不限,6天／周,实习3个月,职位诱惑：弹性工作 五险一金 员工旅游 绩效奖金 专业培训 年终奖金,岗位职责：1. 负责房地产相关政策、市场信息、土地信息收集及整理工作，独立完成市场监控、目标产品研究等前期策划基础工作。2.负责对指定区域房地产市场调查、信息收集，建立信息库；4、关注行业动态及市场的最新信息，定期对重点监控区域市场进行市场分析、策划和专题研究。5、具备房地产行业前期定位，产品研究及营销策划等背景，懂广州城市规划、项目规划、产品规划；6、对项目开发提出意见和建议和完成领导安排的其他工作。。 任职资格： 1、专科及以上学历，房地产经营管理、市场营销、建筑设计类等相关专业优先考虑； 2、规划/建筑/房地产/经济地理等专业，持规划/建筑专业资格证优先。 3、3年以上房地产营销策划相关工作经验，有五大行或大中型房地产企业经验优先。 4、熟悉商业地产前策业务、调研及市场分析等工作，熟悉房地产策划，能够完成前期策划可行性研究报告工作；5.有较强的沟通能力，分析判断能力、据分析整理能力和组织协调能力；6、优秀者可担任策划负责人,https://sxsimg.xiaoyuanzhao.com/5E/D2/5E6990C8AF7F397D664C6EABE04335D2.png,合富置业,2000人以上,建筑房产
数据分析,80-100／天,广州,不限,5天／周,实习11个月,职位诱惑：产品供应链整个流程数据流程分析，可以往供应链较高职位发展。,1、负责集团旗下品牌下单数据导入；2、分析月/季大货数据，并形成报告；3、负责与第三方检测机构核对账务；4、每月对大货数据进行统计，以及大货回货计划分析；5、根据合作方案对第三方合作供应商进行监督管理管理。,https://sxsimg.xiaoyuanzhao.com/95/60/95236628E434EED70294FDEBBC08DD60.png,汇美集团,500-2000人,计算机/互联网
数据分析与挖掘,120-200／天,全国,硕士,4天／周,实习3个月,职位诱惑：Mentor计划，转正HC，外企环境,1、 统计学、应用数学、情报学等相关专业硕士生及博士生2、 熟练运用Excel、SPSS、SAS、R、Python等分析软件3、 有数据挖掘、文本挖掘、自然语言理解实际运用经验优先；熟悉SQL脚本优先,https://sxsimg.xiaoyuanzhao.com/54/D3/5473BC41FD084B0D203214C1A5BAC3D3.png,Teradata天睿信科,500-2000人,企业服务
数据分析员,100-150／天,广州,本科,4天／周,实习5个月,职位诱惑：数据分析团   金融科技   条件概率统计,该职位接受暑期实习&长期实习。聚英金融高校联盟：是一个高校投资爱好者的交流平台，专注金融投资教育，以及高校创业项目交流的青年投资俱乐部，旨在为华南地区大学生提供最专业的金融投资教育，最前端的金融人脉圈。数据分析团队致力于通过最前沿的金融科技，并且利用私募机构的数据运算模型，统计各种交易信号出现条件，结合实际交易数据，构建我们庞大的交易数据库，实现数据量化。任职要求：一、对金融投资领域有浓厚的兴趣，立志在该行业长期发展。全日制统招本科或以上学历，金融工科等相关专业毕业，具备证券从业资格证，投顾证者优先考虑； 二、具备国内A股，商品期货等相关分析或学习经验，具备基本分析能力，有独立分析系统的优先考虑； 三、接受公司技术团队完整的技术课程培训，分析系统培训，在公司技术顾问的指导以及结合自身的观点，完成每月任务，为客户服务。 四、抗压能力强、以客观数据为主的分析心态、超强的学习能力与适应环境能力、随机应变能力要非常强。五、优胜劣汰，我们致力培养菁英而非庸才，如果你对自己的实力有信心，欢迎挑战！,https://sxsimg.xiaoyuanzhao.com/61/F8/61CC28DDA4A60A53396B00C112635EF8.jpg,耘蜂语,150-500人,金融
大数据分析/挖掘实习生,100-200／天,广州,本科,4天／周,实习3个月,职位诱惑：基于大数据/BI的数据分析数据挖掘等,基于大数据/BI的数据分析数据挖掘相关工作职位要求： 1.本科及以上计算机、电子通讯、数学、统计等相关专业；2.以大三、大四、研一、研二学生为佳，实习3个月以上，每周至少3-4个全天；3.志愿向大数据、BI领域方向发展；4.对数据分析、数据挖掘、多维分析、智能推荐等方面有兴趣；5.对新技术、新应用有钻研精神。,https://sxsimg.xiaoyuanzhao.com/22/B2/22CC264BEAF2CE98C4882C22D9492DB2.png,精点数据,150-500人,互联网
数据分析专员,208-333／天,广州,本科,5天／周,实习7个月,职位诱惑：五险一金/绩效奖金/全勤奖/创新奖/入职体检/企业文化活动,【岗位职责】1.负责部门内运营数据采集、统计与分析工作，并能结合运营实际，提出改善意见和方案；2.针对特定业务问题进行分析并给出报告，如销售分析、客户分析、竞争对手分析等；3.为部门内提供数据支持，包括日常运营数据反馈、业务项目实施数据比对等；4.领导安排的其他工作。 【岗位要求】1.本科以上学历，英语四级或以上，可接受应届毕业生；3.熟悉市场分析或数据分析的主要方法，熟练运用Excel等常用软件；4.对数据敏感，良好的逻辑及系统性思维能力；5.有良好的团队合作精神和沟通能力，具备良好的分析思路并善于学习和思考。 【棒谷提供】1、薪酬：综合薪资5-8K；2、专业培训：专业的培训队伍，为每位新入职员工提供系统的技能培训、职业培训、户外拓展；3、福利待遇：五险一金/绩效奖金/全勤奖/创新奖/年终奖/入职体检/企业文化活动/拓展培训/优秀团队活动经费/大型年会/达标旅游/节日礼物/下午茶；4、带薪假期：带薪年假（5-7天）、国家法定节假日、婚假、产假等；5、工作氛围：开放、轻松、年轻、扁平化管理。,https://sxsimg.xiaoyuanzhao.com/FC/38/FC9F14017AB3AD11ED6ABF43D0F9CA38.jpg,广州棒谷,2000人以上,计算机/互联网
大数据分析实习生,113-172／天,广州,本科,5天／周,实习12个月,职位诱惑：大型国企、高温补贴、工会经费、补充商保、实习证明,岗位职责：1.负责大数据关联分析平台数据测试；2.负责大数据关联分析平台信息统计、文档资料整理任职要求：1.计算机或通信相关专业2.优秀者可转正。,https://sxsimg.xiaoyuanzhao.com/A5/E0/A5E307F2F0C896172BF8274C2ECD37E0.png,广电银通,2000人以上,企业服务
