job,salary,city,education,workday,worktime,job_good,job_detail,company_pic,company_name,company_scale,company_class
实习数据分析师,80-120／天,广州,本科,4天／周,实习9个月,职位诱惑：转正机会，项目团队，内部培训，周末双休，,【岗位职责】1、通过数据统计与业务分析对运营商业务的进行分析、洞察、建议；2、能进行有效的沟通，独自负责部分分析工作的完成；【岗位要求】1、在校大三、大四、研二学生，每周能提供至少4天实习（周一至周五），可实习3个月以上；2、管理、通信、计算机、营销等专业，本科及以上学历；3、有扎实的SQL、Excel、PPT功底，能高效处理大量数据，并从中分析，发现问题，完成分析报告撰写，并提出改善建议。熟练使用VBA、Power Bi或其他工具者优先；4、有良好的逻辑思维及沟通能力、良好的团队合作精神。责任心、配合度强，可接受加班；5、应届毕业生，表现优秀可提供转正机会；,https://sxsimg.xiaoyuanzhao.com/EC/69/EC6AF40A061AEFA0729D3816671F1969.png,觅游信息,50-150人,"互联网,通信/电子"
医疗数据分析-实习生,150-220／天,广州,本科,5天／周,实习6个月,职位诱惑：世界500强，弹性工作,医疗大数据尤其是影像大数据已经成为当今AI领域最炙手可热的方向，我们团队由多位海归博士组成，位于广州的研发团队由计算机，统计，机器学习机临床人员组成，专注于医学影像数据分析，统计建模，机器学习建模及相关科研研究，现招聘一位数据科学实习生：职位描述：1.   利用临床数据，进行相应统计，机器学习建模，分析数据，构建相应预测模型。。2.   协助医院进行科研项目跟进，和医院工作人员沟通项目进展。3.   相关文献的调研及良好的英文读写能力。4.   搜集相关领域文章，对文章中描述的大数据，数据挖掘方法进行实现，形成可使用的模块。5.   关注相关领域的前沿方向，形成科研调研报告。职位要求：1. 熟练掌握统计学习，机器学习建模算法（logistic regression、SVM、RF等）及拥有相关项目经历。2. 熟练掌握英文文献阅读能力。3. 具有较强的数学，统计功底。4. 熟练掌握以下两门统计语言之一：R，Python。5. 计算机，统计，生物医学工程，应用或基础数学，物理等专业，保研、研一、研二优先。,https://sxsimg.xiaoyuanzhao.com/D2/CA/D227EDD79E5ED2EB630BD32FD83E31CA.jpg,GE Healthcare,150-500人,医药
管理培训生(数据与流程分析方向),300-500／天,广州,不限,5天／周,实习8个月,职位诱惑：晋升空间大/优秀团队/五险一金/创新奖/绩效奖/团队拓展,【岗位职责】1、负责收集、整理并分析采购部门需求，与业务负责人讨论、确认需求；2、管理需求、组织需求和设计评审，跟进需求在后续每个流程环节的落实；3、对需求变更进行影响分析，并跟进后续每个流程环节的落实；4、参与系统功能验收工作，组织关键用户进行功能培训及用户操作手册的编写。【岗位要求】1、17及18届本科及以上学历毕业生，财务、物流、电子商务、数学等相关专业，CET-4同等或以上水平；2、具有较强的口头表达及文档撰写能力，能准确书写符合规范的需求分析、解决方案等文档；3、具备一定的业务梳理及分析能力，能结合业务情况提出合适的方案和建议；4、熟练运用需求分析过程中涉及的工具（如流程图工具、原型设计工具等）；5、具备良好的沟通协调能力、组织能力及学习能力，责任心强，能够承受较大的工作压力。6、有一定的财务基础者优先考虑。【棒谷提供】1、薪酬：综合6-10K，优秀者面议；2、专业培训：专业的培训队伍，为每位新入职员工提供系统的技能培训、职业培训、户外拓展；3、福利待遇：五险一金/绩效奖金/全勤奖/创新奖/年终奖/入职体检/企业文化活动/拓展培训/优秀团队活动经费/大型年会/达标旅游/节日礼物/下午茶；4、带薪假期：带薪年假（5-7天）、国家法定节假日、婚假、产假等；5、工作氛围：开放、轻松、年轻、扁平化管理。​,https://sxsimg.xiaoyuanzhao.com/FB/42/FBBA18E3E7D9BDFDA1C4D51DE1C4CB42.png,棒谷科技,2000人以上,计算机/互联网
数据分析/挖掘工程师,120-180／天,广州,本科,5天／周,实习3个月,职位诱惑：可转正，大数据专家级人物带领,工作职责：1、负责日常经营数据的统计与分析；2、负责公司相关部门的日、周、月、季报等数据汇报工作；3、根据产品、业务、运营等部门的专题分析需求，编写相应的分析报告；岗位要求：1、​本科及以上学历，18年应届毕业生，统计学、应用数学等相关专业；​2、了解业内主流的数据分析挖掘工具；3、工作认真细心，责任心强，良好的沟通技巧和推动能力；4、能承受一定工作压力。,https://sxsimg.xiaoyuanzhao.com/A5/71/A56C191F25AE6586FC21903FDC601571.png,时代大数据,150-500人,计算机/互联网
（2019届实习生）数据分析师,180-280／天,广州,本科,3天／周,实习3个月,"职位诱惑：千万级用户,工作氛围好,知识分享,团队大牛多",岗位职责:1、跟进虎牙直播的数据统计、核实工作；2、参与数据报表优化工作；3、参与分析结论提取和分析报告撰写；4、参与数据挖掘与精准营销工作。任职资格:1、2019届本科及以上学历，统计/数学/信息科学/金融/公共管理等专业优先；2、较强的逻辑分析能力和独立思考能力，理解用户需求，思维严谨、灵活；3、工作态度认真负责，良好的沟通、协调能力，执行能力，能承担工作压力；4、熟悉计算机操作及office系列软件；5、对网络直播这一休闲方式有兴趣，熟悉网络直播业务优先；6、实习表现优秀者，有机会提前获得2019届校园招聘offer。,https://sxsimg.xiaoyuanzhao.com/56/84/56730541EB86A01518282E6AACB59784.png,虎牙信息,500-2000人,计算机/互联网
数据分析实习生,100-120／天,广州,不限,4天／周,实习4个月,职位诱惑：数据模型、算法研究，地铁周边，国家假期，团建活动,职位描述：1. 参与商业项目需求分析，协助制定方案，完成报告；2. 在指导下获取和整理业务所需的数据；3. 在指导下持续完善业务分析模型和算法；4. 定期输出数据分析报告。职位要求：1.大四或研二学生，计算机、工商管理、市场营销、金融、经济学、数学、社会学、房地产、城市规划等相关专业优先；2.一周实习4-5天优先，需保证实习3月以上（周末双休）；3.具备系统的数据收集能力和独立思考能力，具有数据敏感度，沟通能力好；4.有课外数据分析练手、参与数学建模比赛、参加数据挖掘和分析比赛者优先；5.ASAP,https://sxsimg.xiaoyuanzhao.com/D0/9E/D0848DCCCEFF273F1C09D531630F8F9E.png,留海科技,15-50人,计算机/互联网
Inspector 稽核专员-数据分析实习生,150-151／天,广州,本科,5天／周,实习2个月,职位诱惑：老板好，500强，快消，知名外企，职业发展迅速,"职责描述：1. Work with other Kraft Heinz China Inspection team members to drive savings for the company与卡夫亨氏中国区其他稽查同事一起，共同努力为公司优化经费使用效率2. Inspection Data Analysis: Perform data analysis to identify potential risk are and evaluate the D&A usage effectiveness; 通过数据分析识别潜在风险领域，并评估促销费用投入的有效性3. Inspection Reporting: Prepare inspection report and present to Regional Inspection Manager and Head of Internal Control撰写稽查报告，并向区域稽查经理和内控总监汇报4. Key Issue follow-up 跟踪处理关键问题任职要求：1. Bachelor degree and above, prefer to whom major at the mathematics or computer science;本科及以上，首选一本院校毕业生，希望是数学和计算机相关专业2. Strong data analytical skill and good at Excel - VBA/ Access software (must);出色的数据分析能力，熟练掌握Excel - VBA/Access (一定需要) 3. FMCG internship experience is a plus;具备在快速消费品行业实习经验者优先；4. Fundamental English writing skill;具备基础的英语书面交流能力5. Sales process knowledge required; Finance knowledge is advantage;了解销售流程，熟悉财务者优先6. Good communication skills;优秀的交流能力7. Strong ownership and can think out of box;强烈的主人翁意识，有创造性思维8. The working location will be based Guangzhou工作地点在广州",https://sxsimg.xiaoyuanzhao.com/DB/FA/DBBA57D57878DFDEDC27BB489D4094FA.png,卡夫亨氏,2000人以上,快消
数据分析实习生,90-110／天,广州,本科,3天／周,实习6个月,职位诱惑：弹性工作制，环境舒适，氛围轻松,该职位接受暑期实习&长期实习。工作职责：    1、协助人力资源系统项目的实施；    2、系统操作手册书写；    3、系统运维，负责与相关人员进行日常的沟通事务；    4、对业务状况进行简单的分析并给出意见和建议。任职要求：    1、大二大三，计算机专业及相关专业优先；    2、每周至少提供三天工作时间，实习期半年以上；    3、思路清晰，考虑问题细致、严谨负责、踏实敬业，    4、熟悉使用办公软件，熟练使用excel者优先；    5、对数据库有大致了解,https://sxsimg.xiaoyuanzhao.com/B4/91/B4763CA1B9CE811B42E64CE713CDB291.jpg,卓越教育,2000人以上,教育培训
数据分析实习生,80-81／天,广州,本科,4天／周,实习3个月,职位诱惑：可得实习证明,岗位职责:1.管理部门报表体系，根据业务发展调整报表结构，并根据业务发展提供数据分析支持；2.按时编写各类业务运营报表及运营数据支持。任职资格:1.全日制本科及以上学历，统计学、金融、经济学等相关专业优先；2.一周能实习4天以上，不含周末，表现优秀者可以转正；3.熟悉SAS，可熟悉使用office软件，具备较强的执行力、数据分析的逻辑思维能力。,https://sxsimg.xiaoyuanzhao.com/45/11/45077CEBFAA50000C52206B228BF7E11.jpg,广州银行信用卡中心,500-2000人,金融/保险
大数据分析顾问,130-150／天,全国,不限,5天／周,实习12个月,职位诱惑：运用大数据分析工具，进行数据建模设计与分析,人员要求：2019届应届毕业生，理工类或管理类专业本科以上学历，计算机相关专业优先；通过英语四级，能使用英文进行听说读写；具有良好的逻辑分析和解决问题的能力；具备沟通协调能力和良好的团队协作精神；适应力强且喜欢接受挑战，能在压力下工作；熟练掌握C、JAVA、.Net、Python等开发语言者优先；学过R语言或其他大数据分析工具者优先，具备Hadoop开发经验者优先。​,https://sxsimg.xiaoyuanzhao.com/AF/46/AFEFD6BC4C2077C409A3A749BDA59646.png,凯捷咨询,2000人以上,计算机/互联网
数据分析实习,80-100／天,广州,本科,3天／周,实习4个月,职位诱惑：优秀团队 内部培训  扁平管理   周末双休,岗位职责： 1、参与业务需求调研，了解业务数据需求，与项目团队沟通并推进落实需求； 2、根据业务需求整理数据统计逻辑，并进行数据处理分析； 3、根据业务需求进行数据统计并形成报告分析，为业务运营提供数据支持。 任职要求： 1、大学本科及以上学历，计算机相关专业； 2、良好的数据敏感度，能从海量数据提炼核心结果； 3、了解Oracle数据库，掌握SQL语句，熟练操作Excel； 4、喜欢研究分析，能够以规范文字进行数据分析并形成汇报； 5、有耐心有责任心，良好的沟通能力，善于协作，具备良好团队合作精神。,https://sxsimg.xiaoyuanzhao.com/FB/F4/FB0B71A2B4BB48126105C54ED15A06F4.png,利通研究院,150-500人,计算机/互联网
